hour,temperature,weather_code,is_weekend,road_quality,traffic_volume,accident_risk
19,21.7,2,0,2,1168,0
10,9.6,2,0,1,877,1
22,20.2,4,0,1,859,0
6,16.5,1,0,1,1128,0
0,41.1,1,0,1,311,0
0,16.1,3,0,3,100,1
19,38.4,2,0,1,665,0
12,25.9,1,0,1,1111,0
8,12.0,1,0,1,2445,0
2,23.3,1,0,1,259,0
6,17.0,3,0,1,1100,0
5,22.4,1,0,1,110,0
7,12.9,4,0,1,2148,0
8,36.9,3,0,1,1852,0
4,29.3,2,0,1,264,1
0,20.3,1,0,1,100,1
18,37.3,1,0,1,2351,0
9,20.7,1,0,3,2582,0
11,31.0,1,0,1,1258,0
23,20.4,2,0,3,384,0
14,23.9,1,0,1,1061,0
21,19.2,1,0,2,1509,0
23,21.0,1,0,1,412,0
8,21.7,3,0,1,1813,0
19,13.3,1,0,1,663,0
16,16.0,3,0,1,2075,0
16,17.8,1,0,1,2218,0
19,22.3,1,0,1,799,0
11,19.7,1,0,1,1060,1
6,31.7,1,0,1,1207,0
1,28.5,2,0,1,242,0
2,18.0,1,0,1,100,0
16,33.8,1,0,1,2470,0
4,38.7,2,0,1,245,0
16,-0.4,2,0,1,2523,0
23,29.3,2,0,1,100,0
16,13.1,1,0,1,2332,1
16,28.0,1,0,1,2704,0
1,32.4,4,0,3,392,0
1,11.2,3,0,1,472,0
21,1.5,4,0,3,429,1
22,28.4,1,0,1,822,0
4,21.4,2,0,3,498,0
0,3.3,2,0,2,418,0
0,45.3,1,0,1,381,0
18,26.2,3,0,1,1927,0
1,26.7,2,0,1,175,0
20,33.7,1,0,1,1006,0
11,14.2,1,0,3,910,0
5,21.3,3,0,3,345,0
22,6.8,1,0,2,1007,0
3,13.9,1,0,2,105,0
22,23.9,1,0,3,1126,0
10,3.3,1,0,1,1250,0
23,13.6,3,0,1,504,0
16,10.7,1,0,1,2634,0
5,21.4,1,0,1,437,0
23,25.7,3,0,1,100,0
4,27.4,1,0,1,165,0
19,30.0,1,0,1,966,0
1,33.7,2,0,1,418,0
5,26.1,1,0,2,179,0
21,38.9,1,0,1,938,0
10,21.2,2,0,1,1111,0
15,18.3,3,0,2,827,0
15,26.1,2,0,1,1066,1
0,17.8,4,0,1,100,0
8,38.5,2,0,1,2435,0
5,31.3,2,0,1,206,0
15,27.5,3,0,3,799,0
2,21.3,1,0,1,213,0
19,15.9,1,0,1,886,0
3,27.0,2,0,1,325,0
18,8.7,1,0,2,2919,1
2,35.3,1,0,1,416,0
18,18.2,1,0,2,2143,0
19,23.1,1,0,1,1070,0
6,10.9,1,0,2,897,0
19,27.2,3,0,2,611,1
8,15.5,3,0,2,2140,0
0,26.5,2,0,1,315,0
7,27.6,3,0,2,2497,0
6,13.5,1,0,1,977,0
17,8.8,1,0,2,2454,0
7,35.3,1,0,1,2739,0
0,18.1,2,0,1,304,1
10,22.2,1,0,1,788,0
17,24.9,1,0,1,2323,0
22,7.5,2,0,1,934,0
9,24.6,1,0,1,2631,0
2,21.0,4,0,1,494,1
6,13.6,2,0,2,1160,0
15,8.4,1,0,1,1113,0
15,26.1,1,0,1,1219,0
19,31.3,2,0,2,1124,0
16,21.8,1,0,1,2319,0
1,5.7,1,0,1,255,0
0,9.4,1,0,1,196,0
15,15.7,3,0,1,1052,0
11,35.6,1,0,1,809,0
4,17.5,3,0,1,100,1
4,15.3,3,0,3,273,0
22,3.3,1,0,1,1385,0
8,13.4,2,0,1,2646,0
8,7.7,1,0,2,2708,0
2,10.0,1,0,1,100,0
18,21.2,2,0,1,2633,0
15,16.0,2,0,2,777,0
15,37.0,1,0,1,1146,0
2,30.8,3,0,3,100,0
19,13.9,2,0,1,932,0
23,10.8,3,0,2,100,0
21,33.8,1,0,1,823,0
23,36.6,3,0,1,100,1
0,-1.9,1,0,1,430,0
23,20.9,1,0,3,318,0
19,17.5,2,0,2,906,0
10,26.5,2,0,1,1023,0
16,39.4,1,0,3,2333,0
7,15.2,1,0,1,2564,1
3,-0.6,1,0,1,284,0
5,25.8,2,0,1,756,0
7,33.9,1,0,2,2826,0
19,17.0,1,0,2,1188,0
2,12.9,1,0,1,358,0
15,15.6,4,0,3,884,0
2,28.5,2,0,1,548,0
17,15.5,2,0,1,2557,0
13,23.3,3,0,1,869,1
17,20.3,1,0,3,2384,0
1,19.2,1,0,1,162,0
21,27.0,1,0,1,978,0
2,15.2,2,0,1,100,0
15,15.7,1,0,1,994,0
8,28.0,1,0,1,2451,0
3,10.1,1,0,1,475,0
0,11.2,1,0,3,544,0
3,7.4,1,0,1,814,0
0,28.5,4,0,1,355,0
13,18.9,2,0,2,1030,0
20,6.9,3,0,1,686,0
15,28.5,4,0,3,590,1
19,14.4,1,0,1,1182,0
23,11.3,1,0,1,294,0
7,18.0,2,0,1,2584,0
6,34.8,3,0,2,803,0
2,16.1,1,0,3,308,0
16,25.8,4,0,1,2043,0
0,27.3,1,0,1,384,0
15,24.4,1,0,1,1188,0
11,32.7,2,0,1,753,0
18,12.9,1,0,1,2617,0
21,9.6,1,0,1,742,0
22,9.4,1,0,1,1140,0
21,18.6,1,0,1,1064,0
13,10.5,2,0,2,984,0
5,21.5,3,0,1,232,0
5,20.8,3,0,1,267,0
12,30.2,2,0,1,1218,0
18,22.9,1,0,1,2700,0
21,15.8,1,0,2,1177,1
7,24.1,1,0,1,2230,0
1,9.7,1,0,1,415,0
20,19.6,1,0,1,520,0
0,23.2,3,0,2,100,0
14,21.3,3,0,1,1024,0
0,24.2,1,0,1,100,0
4,13.6,2,0,1,264,0
15,31.5,1,0,1,1280,0
18,38.2,2,0,1,2616,0
3,4.0,2,0,1,374,0
2,7.8,1,0,2,289,1
16,20.4,1,0,2,2525,0
16,17.4,3,0,1,1874,1
11,39.0,2,0,1,904,1
13,22.2,3,0,1,817,1
20,33.9,3,0,1,846,0
5,-0.5,4,0,1,208,0
2,28.1,1,0,1,100,0
8,12.8,1,0,1,2812,0
4,12.7,1,0,1,487,0
23,17.5,1,0,1,259,0
16,5.8,1,0,1,2693,0
13,24.4,2,0,1,928,0
20,21.9,1,0,3,1063,0
2,22.7,1,0,1,100,0
0,28.9,3,0,2,291,0
19,35.1,1,0,1,943,0
20,16.4,1,0,2,1043,0
22,24.8,2,0,1,1341,0
0,22.9,2,0,3,296,1
2,23.8,1,0,1,208,0
17,23.9,1,0,1,2410,0
9,35.9,2,0,1,2216,0
21,15.4,1,0,1,1080,1
2,4.7,1,0,1,406,0
7,13.0,2,0,1,2513,0
13,27.6,1,0,1,1183,0
23,20.2,1,0,1,485,0
17,15.3,1,0,1,2513,0
14,9.2,4,0,1,917,0
21,22.2,4,0,1,1234,0
22,26.4,1,0,3,835,1
1,23.1,1,0,3,454,0
9,17.5,1,0,2,2517,0
1,21.5,1,0,2,509,0
16,21.4,1,0,1,2341,0
7,21.9,2,0,3,2540,0
0,8.2,1,0,1,164,0
8,22.0,1,0,1,2146,0
10,15.6,1,0,2,1280,0
21,30.4,1,0,1,913,0
15,21.3,1,0,1,831,0
6,28.4,1,0,1,884,0
9,17.0,2,0,1,2864,0
22,17.3,2,0,1,1262,0
2,34.9,1,0,1,256,1
17,24.4,1,0,1,2672,0
23,12.9,1,0,1,100,0
12,29.0,1,0,1,1104,0
6,14.7,2,0,1,913,0
3,22.3,1,0,3,387,0
12,38.4,2,0,1,725,0
19,5.7,2,0,2,880,0
0,18.2,3,0,1,276,0
7,24.1,4,0,1,2034,1
13,27.6,1,0,1,707,0
15,7.6,4,0,1,605,1
13,4.6,2,0,1,1084,0
11,30.9,2,0,1,1061,0
18,12.8,1,0,1,2631,0
22,12.4,3,0,1,838,0
14,35.5,1,0,1,789,0
1,20.7,3,0,3,169,0
1,20.8,1,0,1,406,0
22,18.2,2,0,2,799,0
21,7.8,1,0,2,774,0
18,26.8,1,0,1,2439,0
21,24.1,1,0,2,1054,0
21,21.7,1,0,3,631,0
16,18.8,1,0,1,2451,1
19,17.1,1,0,1,1103,0
9,29.1,2,0,1,2643,0
5,18.6,3,0,1,100,0
14,19.4,2,0,1,1074,0
21,25.3,1,0,3,1198,0
10,22.1,1,0,2,1121,0
4,36.4,1,0,1,217,0
0,2.4,3,0,1,100,0
7,23.0,3,0,3,2041,0
20,12.9,1,0,1,1315,1
11,10.6,1,0,1,1164,0
11,15.4,3,0,1,950,0
4,20.5,3,0,1,273,0
6,21.0,3,0,1,979,1
3,4.8,3,0,1,300,0
5,14.6,1,0,1,100,1
12,22.8,1,0,1,1178,0
19,11.2,1,0,1,827,0
14,8.9,1,0,1,1013,0
2,-2.6,1,0,2,447,0
22,13.4,1,0,1,850,0
7,8.5,1,0,1,2302,0
19,10.2,1,0,1,1095,0
15,17.3,1,0,1,777,0
12,14.0,1,0,3,961,0
17,8.3,1,0,1,2725,0
9,-1.2,3,0,1,2325,0
18,23.0,3,0,2,1643,0
16,27.5,1,0,1,2456,1
23,16.0,1,0,1,554,0
18,17.3,1,0,1,2420,0
22,20.0,2,0,2,1158,0
4,35.8,1,0,1,473,0
20,4.3,1,0,2,877,0
22,15.9,3,0,1,885,0
8,2.8,1,0,1,2597,0
11,23.6,1,0,3,1182,0
20,18.6,1,0,1,674,0
0,22.0,1,0,2,558,0
0,21.5,1,0,2,437,0
14,29.9,3,0,3,573,0
1,25.4,1,0,1,274,0
21,28.3,2,0,1,1167,0
15,9.3,1,0,2,784,0
7,31.9,1,0,1,2315,0
12,12.8,1,0,1,1003,0
20,13.4,1,0,1,912,0
0,22.7,1,0,1,350,0
15,23.0,1,0,1,1164,0
6,9.3,3,0,1,854,0
4,18.3,1,0,1,297,0
21,34.9,1,0,1,1165,0
22,5.3,1,0,1,979,1
2,34.9,1,0,2,150,0
11,17.6,1,0,2,1231,0
15,-3.4,1,0,1,516,1
18,6.3,1,0,1,2512,0
4,10.4,1,0,1,227,0
21,13.8,2,0,1,815,0
13,19.0,1,0,2,1059,0
4,-7.0,1,0,2,391,0
14,21.9,2,0,2,834,0
16,9.4,4,0,1,1720,0
13,33.9,2,0,1,738,1
19,17.3,1,0,1,1362,0
4,29.4,2,0,1,684,0
11,31.1,1,0,1,1005,0
15,30.8,1,0,1,725,0
15,14.3,3,0,1,770,0
20,14.2,1,0,1,559,0
6,17.8,4,0,1,862,0
3,26.4,2,0,1,101,0
0,14.9,2,0,3,100,1
4,18.8,2,0,1,495,0
22,22.7,1,0,1,969,0
9,11.0,1,0,1,2673,0
21,10.3,3,0,3,1041,1
4,18.4,2,0,1,282,0
3,19.7,3,0,2,238,1
1,24.3,3,0,1,451,0
19,26.7,4,0,2,692,1
9,9.0,2,0,1,2730,0
18,11.9,1,0,1,2095,0
0,10.3,1,0,1,229,0
23,34.1,2,0,1,337,0
4,18.8,1,0,2,100,1
12,20.2,1,0,1,1073,0
3,20.6,1,0,1,334,0
15,12.8,3,0,3,653,0
23,35.6,3,0,1,100,0
15,24.1,2,0,3,825,0
22,20.4,1,0,1,686,0
1,8.9,2,0,3,622,1
16,8.4,2,0,1,2457,1
19,16.9,1,0,1,729,0
23,13.0,1,0,1,275,0
11,9.3,1,0,1,1047,0
17,16.3,1,0,1,2336,0
2,17.8,2,0,1,227,0
0,21.4,1,0,3,560,0
0,15.0,4,0,3,100,0
18,9.9,1,0,3,2383,0
10,10.3,1,0,3,598,0
4,32.1,1,0,2,664,0
11,7.5,1,0,3,1131,0
2,23.6,1,0,2,290,0
0,25.2,1,0,1,156,0
0,18.8,1,0,2,146,0
7,37.7,1,0,3,2446,0
9,25.0,2,0,2,2599,0
10,38.4,1,0,1,787,0
11,13.5,1,0,1,907,0
12,13.7,2,0,2,1171,0
11,25.3,1,0,3,1321,0
13,17.4,3,0,1,908,0
1,36.9,3,0,1,107,0
18,23.4,1,0,1,2468,0
17,9.6,3,0,1,2082,0
2,2.6,2,0,1,241,0
22,19.2,3,0,1,942,0
16,19.1,2,0,3,2353,0
7,23.1,1,0,1,2822,0
9,32.1,3,0,1,1982,1
1,30.8,1,0,3,173,0
18,14.2,1,0,1,2618,0
8,7.1,1,0,1,2304,0
6,7.7,1,0,1,1029,0
3,12.6,1,0,1,580,0
20,16.3,2,0,2,756,0
17,23.1,3,0,3,2238,0
12,12.0,1,0,1,741,0
10,22.8,4,0,1,964,0
23,23.6,3,0,1,100,0
3,21.4,1,0,2,538,1
20,8.7,1,0,2,884,0
3,24.7,3,0,1,168,0
9,40.8,2,0,1,2312,1
4,22.5,2,0,3,100,0
8,-9.5,2,0,3,2271,0
23,32.4,1,0,1,100,0
2,13.0,1,0,2,100,0
16,42.7,1,0,1,2558,0
2,21.2,1,0,1,604,0
15,3.2,2,0,1,1359,0
3,-0.6,3,0,1,100,0
17,35.4,1,0,1,2478,0
16,31.1,4,0,1,2232,1
6,42.3,1,0,1,737,0
23,20.1,2,0,1,540,0
22,19.4,2,0,1,1244,0
4,16.2,4,0,1,100,0
11,13.4,2,0,2,528,0
16,16.1,1,0,1,2419,1
22,22.2,4,0,1,987,0
12,11.6,2,0,3,696,0
22,3.3,1,0,1,592,0
2,21.6,2,0,1,312,0
8,11.3,3,0,1,2126,0
16,-12.4,1,0,2,2363,0
16,25.5,1,0,2,2380,0
19,8.9,3,0,1,925,1
15,26.6,2,0,1,826,0
21,26.4,1,0,1,841,0
12,22.8,1,0,3,1055,1
18,45.0,1,0,1,2577,0
16,18.6,2,0,2,2455,1
3,17.1,3,0,1,536,0
11,26.8,1,0,1,1149,0
8,19.4,1,0,3,2429,1
18,31.6,1,0,2,2241,0
11,7.3,2,0,1,1198,0
8,7.5,1,0,1,2705,0
6,27.7,1,0,1,980,0
13,8.4,1,0,1,1055,0
19,26.1,2,0,1,1140,1
18,23.7,1,0,1,2820,0
14,13.1,1,0,1,1177,0
15,23.7,3,0,1,889,0
20,7.7,1,0,1,1185,1
4,10.0,1,0,1,530,0
2,17.6,3,0,1,294,0
11,20.8,1,0,2,1183,0
19,17.0,1,0,1,864,0
20,24.3,1,0,1,1207,0
3,23.9,2,0,1,166,0
20,35.3,1,0,1,798,1
22,19.0,3,0,1,774,0
15,31.9,1,0,1,731,0
6,29.2,1,0,1,880,0
12,42.9,2,0,2,1075,0
20,18.7,4,0,3,855,0
9,15.8,1,0,1,2627,1
6,32.6,3,0,1,931,0
13,23.9,1,0,1,1074,0
4,32.8,1,0,1,129,0
2,27.2,1,0,1,484,1
22,-1.1,2,0,1,978,0
10,23.8,1,0,1,1048,0
10,23.1,1,0,3,1020,0
17,21.3,1,0,1,2814,0
14,18.7,1,0,1,761,0
11,4.1,3,0,2,731,0
8,28.7,4,0,1,2106,0
9,23.7,2,0,1,2504,1
11,31.0,1,0,1,903,0
16,4.6,1,0,1,2116,0
5,25.1,2,0,1,242,1
6,17.7,4,0,1,872,0
13,21.4,1,0,1,1108,0
12,17.8,3,0,1,766,0
7,25.4,4,0,3,2035,0
9,18.4,3,0,1,1771,0
8,9.5,1,0,1,2577,0
17,20.9,1,0,3,2501,0
1,17.9,1,0,1,333,0
4,19.2,1,0,1,256,0
4,-11.9,1,0,1,342,0
5,26.8,1,0,1,426,0
18,16.9,2,0,1,2551,0
7,6.5,1,0,1,2135,0
15,29.2,1,0,3,1055,0
12,26.4,2,0,1,922,0
0,16.7,2,0,1,158,0
21,8.5,2,0,1,1269,1
19,21.8,1,0,1,813,0
16,21.2,2,0,1,2336,0
6,29.2,1,0,1,551,1
12,15.6,1,0,1,1288,1
3,31.9,2,0,1,478,0
3,14.6,1,0,3,233,0
5,6.5,1,0,2,422,1
18,8.7,1,0,1,2054,0
11,19.4,1,0,2,1095,0
21,19.3,1,0,1,828,0
6,23.3,3,0,2,1134,0
9,19.1,1,0,1,2573,0
18,29.8,4,0,1,2026,1
6,17.4,1,0,2,835,0
2,0.0,1,0,1,137,0
12,18.8,1,0,2,1118,0
12,-0.1,1,0,1,833,0
17,22.7,2,0,1,2326,0
19,30.6,1,0,1,1281,0
7,10.1,1,0,3,2557,0
8,34.2,2,0,1,2280,0
6,28.4,1,0,1,1110,0
0,32.1,3,0,2,184,0
2,21.9,2,0,3,100,0
12,10.1,1,0,2,900,0
16,27.8,1,0,1,2290,1
23,13.8,1,0,3,351,0
0,21.2,3,0,2,108,0
5,18.3,1,0,2,318,0
20,31.2,1,0,1,1133,0
5,27.3,1,0,1,772,0
11,19.2,1,0,1,1395,0
12,0.5,1,0,1,1044,0
12,13.6,3,0,1,789,1
14,27.0,1,0,1,880,0
20,22.8,3,0,1,471,0
15,5.0,3,0,1,342,1
21,1.9,1,0,1,831,0
20,22.0,1,0,1,1327,0
10,9.4,1,0,2,1320,0
4,10.4,2,0,1,314,0
3,26.7,1,0,1,393,0
2,32.0,4,0,1,119,0
18,12.5,2,0,1,2493,0
19,19.6,1,0,2,844,0
17,19.3,2,0,1,2344,0
14,18.4,1,0,1,1122,1
8,20.4,3,0,1,1878,0
16,27.6,1,0,2,2598,0
13,13.3,1,0,1,970,0
14,4.7,1,0,1,1283,0
0,36.9,3,0,1,350,0
20,30.9,1,0,1,1048,0
21,9.0,4,0,1,513,1
21,21.4,1,0,1,901,0
2,30.1,1,0,1,289,1
15,27.5,1,0,1,1010,0
22,24.6,1,0,1,1132,0
10,18.3,1,0,1,1041,0
11,37.3,1,0,1,793,0
9,22.2,2,0,1,2618,0
15,14.9,1,0,1,907,0
7,28.7,1,0,2,2370,0
5,21.0,1,0,1,100,0
11,23.5,2,0,1,929,1
23,22.0,1,0,1,188,0
20,25.0,1,0,1,1232,1
7,10.2,1,0,1,2446,0
3,5.5,2,0,1,406,0
7,34.3,3,0,1,1639,1
17,22.5,1,0,3,2648,1
4,27.7,1,0,1,428,0
8,2.4,3,0,1,1708,0
3,30.7,4,0,2,100,0
21,14.8,2,0,1,867,0
16,11.9,4,0,2,1959,1
8,19.4,2,0,1,2359,0
0,10.2,2,0,1,251,1
20,20.0,1,0,1,1130,0
19,18.6,1,0,3,888,0
12,30.6,1,0,2,1059,0
15,35.1,3,0,1,835,0
12,34.8,3,0,1,208,1
13,-2.6,2,0,1,838,0
2,10.6,1,0,1,497,0
5,-2.7,1,0,2,121,0
17,8.1,1,0,1,2285,1
18,13.5,1,0,1,2707,0
4,24.1,2,0,3,330,0
14,14.8,3,0,3,1091,0
1,15.1,1,0,1,207,0
9,21.8,1,0,1,2740,0
23,2.9,2,0,3,122,0
17,11.6,1,0,1,1986,0
12,15.0,3,0,1,934,0
4,18.0,1,0,1,414,0
22,20.8,1,0,2,1134,1
23,35.0,1,0,1,258,0
0,29.1,1,0,1,593,0
21,12.3,1,0,1,1173,0
0,17.4,1,0,3,464,0
17,16.7,1,0,2,2524,1
14,14.9,1,0,2,730,0
16,22.7,1,0,1,2513,0
10,1.4,1,0,3,1071,0
20,28.8,1,0,2,1406,0
21,36.9,2,0,2,1053,0
16,17.3,3,0,3,1790,0
12,17.1,1,0,1,1093,0
0,21.6,1,0,1,551,0
1,30.2,1,0,3,641,0
8,16.8,1,0,2,2478,0
2,29.3,2,0,1,260,1
0,24.9,3,0,1,100,0
20,43.6,2,0,1,879,0
15,16.7,1,0,1,1086,0
22,0.2,1,0,1,695,0
5,5.7,3,0,2,649,0
16,20.1,1,0,1,2428,0
4,30.3,1,0,1,324,0
4,13.5,4,0,1,308,0
5,17.7,2,0,1,525,0
2,26.8,2,0,1,353,1
20,10.3,1,0,1,786,0
22,13.9,1,0,1,1084,0
4,8.3,1,0,1,525,0
20,31.8,2,0,1,821,0
4,35.4,1,0,1,460,0
9,4.2,3,0,1,2050,1
9,18.6,3,0,1,2019,1
18,34.1,1,0,3,2372,1
16,24.0,1,0,1,2455,0
20,15.1,1,0,2,1087,0
13,4.5,2,0,1,915,1
8,31.5,2,0,2,2304,1
13,23.6,2,0,1,795,0
0,5.3,1,0,1,356,1
18,31.9,1,0,1,2597,0
12,4.0,2,0,1,986,1
12,17.8,1,0,1,1363,1
3,17.4,2,0,1,100,1
0,36.2,2,0,2,375,1
16,17.4,1,0,1,2131,0
7,17.4,1,0,1,2479,0
1,6.4,1,0,1,350,0
7,13.6,1,0,2,2464,0
6,11.8,2,0,1,609,0
1,12.3,2,0,1,280,0
21,20.1,3,0,1,800,0
21,-4.3,2,0,1,1179,0
2,4.9,1,0,2,100,0
17,18.9,1,0,2,2788,0
11,21.2,3,0,1,296,0
0,17.7,1,0,1,100,0
21,19.6,2,0,1,1035,0
11,15.9,2,0,1,1062,0
4,19.8,1,0,1,602,0
16,24.3,1,0,1,2538,0
15,24.3,1,0,1,979,0
14,13.1,3,0,2,888,0
22,29.2,1,0,1,531,0
14,21.6,3,0,3,598,1
4,32.3,1,0,2,100,0
20,34.3,4,0,2,990,0
13,5.6,1,0,1,1260,0
1,11.4,1,0,3,672,0
10,28.1,3,0,2,913,0
18,3.4,3,0,1,2178,0
6,34.2,1,0,1,1018,0
5,16.6,2,0,1,200,0
1,25.8,3,0,3,100,1
5,18.8,1,0,2,100,0
17,6.1,1,0,3,2225,0
1,30.6,3,0,2,386,0
17,47.5,1,0,1,2418,0
14,14.8,1,0,1,855,0
18,16.8,2,0,1,2094,0
1,-6.5,1,0,1,117,0
19,33.5,1,0,1,942,0
5,29.1,4,0,3,100,1
0,2.7,1,0,3,831,0
23,-0.6,3,0,1,100,1
14,0.5,3,0,1,1030,1
22,26.5,1,0,1,975,0
9,27.4,1,0,1,2386,0
18,10.8,1,0,1,2450,0
16,25.0,1,0,1,2502,1
4,21.6,2,0,3,345,0
3,16.3,2,0,2,103,1
9,29.7,1,0,2,2611,0
23,8.0,1,0,1,244,1
16,31.5,1,0,1,2233,0
9,12.7,1,0,1,2414,0
16,37.8,1,0,2,2783,0
19,9.9,1,0,3,1043,0
23,16.5,2,0,1,300,0
4,20.6,1,0,2,220,0
1,20.5,1,0,1,236,0
5,24.9,2,0,1,344,0
20,7.1,1,0,2,946,0
1,19.6,1,0,2,390,0
12,21.4,1,0,1,1064,0
10,14.7,1,0,1,761,0
10,24.0,1,0,1,1105,0
15,6.5,3,0,1,609,0
10,16.7,1,0,3,800,0
18,12.5,4,0,1,1994,0
14,16.8,1,0,1,1051,1
22,34.5,1,0,1,1122,0
22,34.7,1,0,3,568,1
15,32.7,1,0,2,1157,0
10,15.4,1,0,2,1082,0
21,29.1,1,0,1,854,0
